FUND,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
ARKG,1/4/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"12,258",0.0133
ARKG,1/4/2021,Buy,VEEV,922475108,VEEVA SYSTEMS INC,"31,937",0.1145
ARKG,1/4/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"97,892",0.2518
ARKG,1/4/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"165,885",0.0952
ARKG,1/4/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"25,566",0.1631
ARKG,1/4/2021,Buy,NVS,66987V109,NOVARTIS AG,"145,574",0.1797
ARKK,1/4/2021,Sell,XONE,302104104,EXONE CO/THE,"4,875",0.0003
ARKQ,1/4/2021,Buy,TRMB,896239100,TRIMBLE INC,"34,318",0.1316
ARKQ,1/4/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"8,641",0.0161
ARKQ,1/4/2021,Buy,NVDA,67066G104,NVIDIA CORP,"16,311",0.4972
ARKQ,1/4/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"44,500",0.0681
ARKQ,1/4/2021,Buy,JD,47215P106,JD.COM INC,"49,724",0.2488
ARKQ,1/4/2021,Sell,SPLK,848637104,SPLUNK INC,"51,534",0.4987
ARKQ,1/4/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"392,957",1.1922
ARKW,1/4/2021,Buy,SKLZ,83067L109,SKILLZ INC,"215,897",0.0747
ARKW,1/4/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"123,520",0.0547
ARKW,1/4/2021,Buy,NVDA,67066G104,NVIDIA CORP,"49,887",0.4959
ARKW,1/4/2021,Buy,NFLX,64110L106,NETFLIX INC,"25,326",0.2479
ARKW,1/4/2021,Sell,ROKU,77543R102,ROKU INC,"113,600",0.6852
ARKW,1/4/2021,Sell,U,91332U101,UNITY SOFTWARE INC,"118,893",0.3222
ARKG,1/5/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"43,975",0.0504
ARKG,1/5/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"282,386",0.1585
ARKG,1/5/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"132,898",0.0624
ARKG,1/5/2021,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,"202,423",0.0233
ARKG,1/5/2021,Buy,VEEV,922475108,VEEVA SYSTEMS INC,"38,000",0.1344
ARKG,1/5/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"107,016",0.217
ARKG,1/5/2021,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,"64,113",0.1111
ARKK,1/5/2021,Sell,XONE,302104104,EXONE CO/THE,"30,745",0.0017
ARKQ,1/5/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"108,589",0.1677
ARKQ,1/5/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"23,201",0.0428
ARKQ,1/5/2021,Buy,TRMB,896239100,TRIMBLE INC,"98,200",0.3724
ARKW,1/5/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"288,539",0.1339
ARKW,1/5/2021,Buy,SKLZ,83067L109,SKILLZ INC,"244,637",0.0899
ARKW,1/5/2021,Sell,ROKU,77543R102,ROKU INC,"49,580",0.3006
ARKW,1/5/2021,Sell,U,91332U101,UNITY SOFTWARE INC,"65,400",0.1766
ARKG,1/6/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"117,743",0.1313
ARKG,1/6/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"116,997",0.0636
ARKG,1/6/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"2,239",0.001
ARKK,1/6/2021,Buy,TXG,88025U109,10X GENOMICS INC,"336,584",0.2521
ARKK,1/6/2021,Buy,TXG,88025U109,10X GENOMICS INC,"174,432",0.1323
ARKK,1/6/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"96,972",0.0364
ARKK,1/6/2021,Sell,XONE,302104104,EXONE CO/THE,"39,906",0.0022
ARKQ,1/6/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,200,0.0004
ARKW,1/6/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"119,700",0.0593
ARKG,1/7/2021,Buy,ACCD,4.37E+104,ACCOLADE INC,"2,655",0.0014
ARKG,1/7/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"157,019",0.1588
ARKG,1/7/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"361,452",0.0734
ARKG,1/7/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"21,904",0.0459
ARKK,1/7/2021,Buy,NVS,66987V109,NOVARTIS AG,"50,104",0.0233
ARKK,1/7/2021,Buy,SHOP,82509L107,SHOPIFY INC,"21,934",0.1255
ARKK,1/7/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"104,824",0.068
ARKK,1/7/2021,Buy,TXG,88025U109,10X GENOMICS INC,"98,628",0.0757
ARKK,1/7/2021,Buy,BIDU,56752108,BAIDU INC,"227,538",0.2371
ARKK,1/7/2021,Sell,VCYT,92337F107,VERACYTE INC,"65,291",0.0167
ARKK,1/7/2021,Sell,TSLA,88160R101,TESLA INC,"122,288",0.4873
ARKK,1/7/2021,Sell,XONE,302104104,EXONE CO/THE,"458,755",0.0283
ARKK,1/7/2021,Sell,PRLB,743713109,PROTO LABS INC,"56,851",0.0511
ARKK,1/7/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"299,238",0.0479
ARKK,1/7/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"7,749",0.0005
ARKK,1/7/2021,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,"114,944",0.0434
ARKK,1/7/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"37,028",0.0127
ARKK,1/7/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"91,363",0.0127
ARKK,1/7/2021,Sell,EDIT,28106W103,EDITAS MEDICINE INC,"114,579",0.0498
ARKK,1/7/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"55,080",0.0509
ARKK,1/7/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"70,897",0.0047
ARKQ,1/7/2021,Buy,TRMB,896239100,TRIMBLE INC,"112,972",0.4048
ARKQ,1/7/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"1,998",0.0036
ARKQ,1/7/2021,Buy,MGA,559222401,MAGNA INTERNATIONAL INC,"203,695",0.7591
ARKQ,1/7/2021,Buy,DE,244199105,DEERE & CO,"32,657",0.4907
ARKQ,1/7/2021,Buy,BIDU,56752108,BAIDU INC,"22,506",0.235
ARKQ,1/7/2021,Sell,SSYS,M85548101,STRATASYS LTD,"149,052",0.1963
ARKQ,1/7/2021,Sell,TSLA,88160R101,TESLA INC,"24,481",0.991
ARKW,1/7/2021,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"121,556",0.2464
ARKW,1/7/2021,Buy,DOCU,256163106,DOCUSIGN INC,"59,080",0.2459
ARKW,1/7/2021,Buy,BIDU,56752108,BAIDU INC,"134,219",0.4946
ARKW,1/7/2021,Sell,PD,69553P100,PAGERDUTY INC,"130,161",0.0946
ARKW,1/7/2021,Sell,PSTG,74624M102,PURE STORAGE INC,"297,419",0.123
ARKW,1/7/2021,Sell,TSLA,88160R101,TESLA INC,"18,034",0.2538
ARKF,1/8/2021,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"36,948",0.2006
ARKF,1/8/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"70,296",0.2498
ARKG,1/8/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"36,900",0.0368
ARKG,1/8/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"27,300",0.1483
ARKG,1/8/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"845,575",0.7834
ARKG,1/8/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"691,332",0.1376
ARKK,1/8/2021,Buy,NVS,66987V109,NOVARTIS AG,"224,573",0.1015
ARKK,1/8/2021,Buy,TXG,88025U109,10X GENOMICS INC,"204,718",0.1526
ARKK,1/8/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"102,878",0.0653
ARKK,1/8/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"186,400",0.0691
ARKK,1/8/2021,Sell,VCYT,92337F107,VERACYTE INC,"66,092",0.0171
ARKK,1/8/2021,Sell,TSLA,88160R101,TESLA INC,"59,500",0.2506
ARKK,1/8/2021,Sell,XONE,302104104,EXONE CO/THE,"17,055",0.001
ARKK,1/8/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"39,991",0.0026
ARKK,1/8/2021,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,"29,306",0.011
ARKK,1/8/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"15,654",0.0051
ARKK,1/8/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"72,313",0.0096
ARKK,1/8/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"113,200",0.0075
ARKQ,1/8/2021,Buy,MGA,559222401,MAGNA INTERNATIONAL INC,"64,491",0.2289
ARKQ,1/8/2021,Buy,TRMB,896239100,TRIMBLE INC,"27,849",0.0967
ARKQ,1/8/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"71,793",0.1252
ARKQ,1/8/2021,Buy,ROK,773903109,ROCKWELL AUTOMATION INC,"19,802",0.2444
ARKQ,1/8/2021,Sell,PRLB,743713109,PROTO LABS INC,"26,289",0.2323
ARKW,1/8/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"384,596",0.5074
ARKW,1/8/2021,Sell,TSLA,88160R101,TESLA INC,"33,553",0.5029
ARKG,1/11/2021,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"700,044",0.4866
ARKG,1/11/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"85,124",0.4505
ARKG,1/11/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"1,289,619",0.2548
ARKG,1/11/2021,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"97,200",0.2446
ARKG,1/11/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"626,054",0.2381
ARKK,1/11/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"667,535",0.2438
ARKK,1/11/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"63,098",0.1517
ARKK,1/11/2021,Buy,NVS,66987V109,NOVARTIS AG,"213,392",0.0967
ARKK,1/11/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"12,361",0.0007
ARKK,1/11/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"2,260",0.0003
ARKK,1/11/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"8,173",0.0005
ARKK,1/11/2021,Sell,VCYT,92337F107,VERACYTE INC,"18,904",0.0047
ARKQ,1/11/2021,Buy,LMT,539830109,LOCKHEED MARTIN CORP,"64,400",1.0129
ARKQ,1/11/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"50,660",0.0308
ARKQ,1/11/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,562,0.0034
ARKQ,1/11/2021,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,"23,530",0.4088
ARKQ,1/11/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"197,284",0.4871
ARKQ,1/11/2021,Sell,SPLK,848637104,SPLUNK INC,"84,979",0.6633
ARKG,1/12/2021,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"764,966",0.5334
ARKG,1/12/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"137,400",0.0268
ARKG,1/12/2021,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"206,000",0.5108
ARKG,1/12/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"379,117",0.1393
ARKK,1/12/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"318,811",0.5047
ARKK,1/12/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"520,349",0.185
ARKK,1/12/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"42,965",0.1025
ARKK,1/12/2021,Buy,NVS,66987V109,NOVARTIS AG,"199,208",0.0869
ARKK,1/12/2021,Buy,BIDU,56752108,BAIDU INC,"452,528",0.5048
ARKK,1/12/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"33,882",0.0107
ARKK,1/12/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"11,709",0.0007
ARKK,1/12/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"75,715",0.0094
ARKK,1/12/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"58,241",0.0035
ARKK,1/12/2021,Sell,TSLA,88160R101,TESLA INC,"126,276",0.5055
ARKQ,1/12/2021,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,"36,400",0.6183
ARKQ,1/12/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"1,678",0.01
ARKQ,1/12/2021,Buy,BIDU,56752108,BAIDU INC,"46,619",0.5034
ARKQ,1/12/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"429,010",1.0248
ARKQ,1/12/2021,Sell,SPLK,848637104,SPLUNK INC,"59,367",0.4392
ARKQ,1/12/2021,Sell,TSLA,88160R101,TESLA INC,"13,179",0.4991
ARKW,1/12/2021,Buy,BIDU,56752108,BAIDU INC,"62,632",0.6429
ARKW,1/12/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"88,906",1.2858
ARKW,1/12/2021,Sell,TSLA,88160R101,TESLA INC,"16,898",0.6161
ARKG,1/13/2021,Sell,CGEN,M25722105,COMPUGEN LTD,200,0
ARKG,1/13/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"217,015",0.08
ARKK,1/13/2021,Buy,SE,81141R100,SEA LTD,"245,558",0.26
ARKK,1/13/2021,Buy,NVS,66987V109,NOVARTIS AG,"460,412",0.2
ARKK,1/13/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"111,100",0.01
ARKK,1/13/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"26,984",0
ARKK,1/13/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"33,987",0
ARKK,1/13/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"452,939",0.15
ARKQ,1/13/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,676,0.01
ARKQ,1/13/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"12,791",0.01
ARKW,1/13/2021,Sell,ROKU,77543R102,ROKU INC,"28,841",0.2
ARKF,1/14/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"21,394",0.2
ARKG,1/14/2021,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"410,661",0.27
ARKG,1/14/2021,Buy,NVS,66987V109,NOVARTIS AG,"166,098",0.15
ARKG,1/14/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"36,400",0.02
ARKG,1/14/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"76,600",0.07
ARKG,1/14/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"85,273",0.03
ARKK,1/14/2021,Buy,TXG,88025U109,10X GENOMICS INC,"125,794",0.1
ARKK,1/14/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"36,509",0.08
ARKK,1/14/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"65,073",0
ARKK,1/14/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"130,778",0.04
ARKK,1/14/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"38,693",0
ARKK,1/14/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"145,699",0.01
ARKQ,1/14/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"8,789",0.05
ARKQ,1/14/2021,Buy,LMT,539830109,LOCKHEED MARTIN CORP,"33,600",0.5
ARKQ,1/14/2021,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,"13,399",0.22
ARKW,1/14/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"497,100",0.2
ARKG,1/15/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"297,578",0.1296
ARKG,1/15/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"70,401",0.1554
ARKG,1/15/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"73,913",0.1047
ARKG,1/15/2021,Buy,NVS,66987V109,NOVARTIS AG,"104,619",0.0982
ARKG,1/15/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"221,751",0.1971
ARKG,1/15/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"221,625",0.0378
ARKG,1/15/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"119,362",0.2391
ARKK,1/15/2021,Buy,DOCU,256163106,DOCUSIGN INC,"93,747",0.1052
ARKK,1/15/2021,Buy,SHOP,82509L107,SHOPIFY INC,"29,362",0.1547
ARKK,1/15/2021,Buy,SNPS,871607107,SYNOPSYS INC,"26,425",0.0309
ARKK,1/15/2021,Buy,TXG,88025U109,10X GENOMICS INC,"53,881",0.0434
ARKK,1/15/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"88,270",0.1269
ARKK,1/15/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"81,933",0.191
ARKK,1/15/2021,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,"184,358",0.2
ARKK,1/15/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"3,973",0.0005
ARKK,1/15/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"2,591",0.0002
ARKK,1/15/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"80,673",0.0742
ARKK,1/15/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"99,970",0.0338
ARKK,1/15/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"10,567",0.0007
ARKQ,1/15/2021,Buy,CAT,149123101,CATERPILLAR INC,"20,430",0.1673
ARKQ,1/15/2021,Buy,DE,244199105,DEERE & CO,"13,954",0.1731
ARKQ,1/15/2021,Buy,NXPI,N6596X109,NXP SEMICONDUCTORS NV,"34,681",0.2545
ARKQ,1/15/2021,Buy,TDY,879360105,TELEDYNE TECHNOLOGIES INC,"18,000",0.2905
ARKQ,1/15/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"4,128",0.024
ARKQ,1/15/2021,Buy,KMTUY,500458401,KOMATSU LTD,"205,910",0.2548
ARKQ,1/15/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"5,221",0.0031
ARKF,1/19/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"192,103",0.22
ARKF,1/19/2021,Sell,SQ,852234103,SQUARE INC,"26,800",0.25
ARKG,1/19/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"45,371",0.1
ARKG,1/19/2021,Buy,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"328,990",0.21
ARKG,1/19/2021,Buy,NVS,66987V109,NOVARTIS AG,"62,491",0.06
ARKG,1/19/2021,Buy,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"68,763",0.15
ARKG,1/19/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"107,956",0.15
ARKG,1/19/2021,Buy,ACCD,4.37E+104,ACCOLADE INC,"89,838",0.05
ARKG,1/19/2021,Buy,TAK,874060205,TAKEDA PHARMACEUTICAL CO LTD,"597,000",0.1
ARKG,1/19/2021,Buy,ONEM,68269G107,1LIFE HEALTHCARE INC,"175,100",0.08
ARKG,1/19/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"286,020",0.12
ARKG,1/19/2021,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,"20,547",0.04
ARKG,1/19/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"61,326",0.11
ARKG,1/19/2021,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,"121,424",0.05
ARKG,1/19/2021,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,"4,535",0
ARKK,1/19/2021,Buy,DOCU,256163106,DOCUSIGN INC,"38,938",0.04
ARKK,1/19/2021,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"208,200",0.08
ARKK,1/19/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"61,494",0.15
ARKK,1/19/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"94,419",0.13
ARKK,1/19/2021,Buy,SNPS,871607107,SYNOPSYS INC,"65,045",0.08
ARKK,1/19/2021,Buy,TXG,88025U109,10X GENOMICS INC,"130,479",0.1
ARKK,1/19/2021,Sell,TSLA,88160R101,TESLA INC,"137,046",0.51
ARKK,1/19/2021,Sell,CGEN,M25722105,COMPUGEN LTD,"143,018",0.01
ARKK,1/19/2021,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,"39,914",0.01
ARKK,1/19/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,"76,444",0.01
ARKK,1/19/2021,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,"51,832",0
ARKK,1/19/2021,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,"176,098",0.16
