FUND,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
ARKK,2/26/2021,Buy,BIDU,56752108,BAIDU INC,"96,126",0.1199
ARKK,2/26/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"94,601",0.0358
ARKK,2/26/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"938,701",0.5003
ARKK,2/26/2021,Sell,SNPS,871607107,SYNOPSYS INC,"48,511",0.0509
ARKK,2/26/2021,Sell,SNAP,83304A106,SNAP INC,"63,434",0.0175
ARKK,2/26/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"108,600",0.0513
ARKK,2/26/2021,Sell,NVS,66987V109,NOVARTIS AG,"223,902",0.0822
ARKK,2/26/2021,Sell,PINS,72352L106,PINTEREST INC,"681,282",0.2288
ARKK,2/26/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"59,008",0.1131
ARKK,2/26/2021,Sell,ROKU,77543R102,ROKU INC,"143,308",0.239
ARKQ,2/26/2021,Buy,VUZI,92921W300,VUZIX CORP,"79,400",0.0403
ARKQ,2/26/2021,Buy,TRMB,896239100,TRIMBLE INC,"61,142",0.1231
ARKQ,2/26/2021,Buy,TER,880770102,TERADYNE INC,"18,472",0.0641
ARKQ,2/26/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"19,872",0.0215
ARKQ,2/26/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"238,928",0.1785
ARKQ,2/26/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"71,800",0.0283
ARKQ,2/26/2021,Buy,AONE,G7000X105,ONE,"138,071",0.0488
ARKQ,2/26/2021,Buy,ACIC,49284102,ATLAS CREST INVESTMENT CORP,"605,500",0.2011
ARKQ,2/26/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"95,881",0.1403
ARKQ,2/26/2021,Sell,AMZN,23135106,AMAZON.COM INC,"3,626",0.3083
ARKQ,2/26/2021,Sell,AAPL,37833100,APPLE INC,"91,029",0.3094
ARKW,2/26/2021,Buy,SHOP,82509L107,SHOPIFY INC,"8,616",0.1318
ARKW,2/26/2021,Buy,SI,82837P408,SILVERGATE CAPITAL CORP,"62,505",0.0986
ARKW,2/26/2021,Buy,SKLZ,83067L109,SKILLZ INC,"105,694",0.0392
ARKW,2/26/2021,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"34,604",0.13
ARKW,2/26/2021,Buy,SQ,852234103,SQUARE INC,"45,699",0.1277
ARKW,2/26/2021,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,"70,400",0.2217
ARKW,2/26/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"867,600",0.2534
ARKW,2/26/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"571,500",0.1946
ARKW,2/26/2021,Buy,JD,47215P106,JD.COM INC,"205,200",0.2348
ARKW,2/26/2021,Buy,TWTR,90184L102,TWITTER INC,"144,791",0.1356
ARKW,2/26/2021,Sell,FB,30303M102,FACEBOOK INC,"71,281",0.2289
ARKW,2/26/2021,Sell,CRM,79466L302,SALESFORCE.COM INC,"2,923",0.008
ARKW,2/26/2021,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,"21,404",0.0632
ARKW,2/26/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"596,547",0.6333
ARKW,2/26/2021,Sell,AAPL,37833100,APPLE INC,"460,102",0.6926
ARKF,3/1/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"173,800",0.2539
ARKF,3/1/2021,Sell,IBKR,45841N107,INTERACTIVE BROKERS GROUP INC,113,0.0002
ARKF,3/1/2021,Sell,MELI,58733R102,MERCADOLIBRE INC,"6,807",0.2512
ARKG,3/1/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"21,623",0.0114
ARKG,3/1/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"147,913",0.0822
ARKG,3/1/2021,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,"37,317",0.0031
ARKG,3/1/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"95,396",0.0756
ARKG,3/1/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"3,660",0.0011
ARKG,3/1/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"225,300",0.0841
ARKG,3/1/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"14,036",0.0008
ARKG,3/1/2021,Sell,HIMS,433000106,HIMS & HERS HEALTH INC,"5,844",0.0008
ARKG,3/1/2021,Sell,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"240,999",0.1358
ARKK,3/1/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"102,863",0.026
ARKK,3/1/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"7,441",0.0041
ARKK,3/1/2021,Buy,TXG,88025U109,10X GENOMICS INC,"18,835",0.0138
ARKK,3/1/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"111,041",0.1025
ARKK,3/1/2021,Sell,SSYS,M85548101,STRATASYS LTD,"201,400",0.0329
ARKK,3/1/2021,Sell,SPLK,848637104,SPLUNK INC,920,0.0006
ARKK,3/1/2021,Sell,SNAP,83304A106,SNAP INC,"36,685",0.01
ARKK,3/1/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"17,490",0.0326
ARKK,3/1/2021,Sell,PINS,72352L106,PINTEREST INC,"27,614",0.0094
ARKK,3/1/2021,Sell,NVS,66987V109,NOVARTIS AG,"58,657",0.0207
ARKK,3/1/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"115,745",0.0528
ARKQ,3/1/2021,Buy,AONE,G7000X105,ONE,"115,889",0.0398
ARKQ,3/1/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"133,941",0.1933
ARKQ,3/1/2021,Sell,HON,438516106,HONEYWELL INTERNATIONAL INC,64,0.0004
ARKW,3/1/2021,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,"21,430",0.0676
ARKW,3/1/2021,Buy,JD,47215P106,JD.COM INC,"7,310",0.0084
ARKW,3/1/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"88,691",0.2349
ARKW,3/1/2021,Sell,CRM,79466L302,SALESFORCE.COM INC,"3,443",0.0088
ARKW,3/1/2021,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,"3,075",0.0088
ARKW,3/1/2021,Sell,SPLK,848637104,SPLUNK INC,"2,248",0.004
ARKW,3/1/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"340,177",0.3617
ARKW,3/1/2021,Sell,AAPL,37833100,APPLE INC,"13,664",0.0206
ARKG,3/2/2021,Buy,ACCD,4.37E+104,ACCOLADE INC,"53,762",0.0232
ARKG,3/2/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"83,295",0.0413
ARKG,3/2/2021,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,"150,000",0.0125
ARKG,3/2/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"13,169",0.0107
ARKG,3/2/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"6,578",0.002
ARKG,3/2/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"130,132",0.0495
ARKG,3/2/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,"8,567",0.0005
ARKG,3/2/2021,Sell,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"81,400",0.0464
ARKK,3/2/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"255,621",0.4048
ARKK,3/2/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"191,434",0.1081
ARKK,3/2/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"154,347",0.0395
ARKK,3/2/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"80,651",0.031
ARKQ,3/2/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"235,110",0.0944
ARKQ,3/2/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"3,376",0.0124
ARKQ,3/2/2021,Buy,AONE,G7000X105,ONE,"434,479",0.1511
ARKQ,3/2/2021,Buy,ACIC,49284102,ATLAS CREST INVESTMENT CORP,"113,800",0.0404
ARKQ,3/2/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"152,514",0.2259
ARKW,3/2/2021,Buy,JD,47215P106,JD.COM INC,"227,660",0.2691
ARKW,3/2/2021,Buy,PYPL,70450Y103,PAYPAL HOLDINGS INC,"66,641",0.2186
ARKW,3/2/2021,Sell,FB,30303M102,FACEBOOK INC,"92,982",0.2954
ARKG,3/3/2021,Buy,VEEV,922475108,VEEVA SYSTEMS INC,"75,900",0.206
ARKG,3/3/2021,Buy,TXG,88025U109,10X GENOMICS INC,"49,218",0.0839
ARKG,3/3/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"87,700",0.0762
ARKG,3/3/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"16,969",0.0053
ARKG,3/3/2021,Buy,ONEM,68269G107,1LIFE HEALTHCARE INC,"169,564",0.075
ARKG,3/3/2021,Buy,MASS,65443P102,908 DEVICES INC,"126,362",0.0635
ARKG,3/3/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"390,584",0.065
ARKG,3/3/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,"332,617",0.0604
ARKG,3/3/2021,Buy,CDXS,192005106,CODEXIS INC,"16,991",0.0035
ARKG,3/3/2021,Buy,ACCD,4.37E+104,ACCOLADE INC,"93,700",0.0411
ARKG,3/3/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"244,014",0.1219
ARKG,3/3/2021,Sell,GOOGL,02079K305,ALPHABET INC,"10,400",0.2056
ARKG,3/3/2021,Sell,BMY,110122108,BRISTOL-MYERS SQUIBB CO,"198,865",0.1171
ARKG,3/3/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"515,538",0.2047
ARKG,3/3/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,120,0
ARKK,3/3/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"226,209",0.2047
ARKK,3/3/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"148,508",0.0577
ARKK,3/3/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,"62,847",0.0362
ARKK,3/3/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"305,000",0.0795
ARKK,3/3/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"142,314",0.0627
ARKK,3/3/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"134,399",0.2091
ARKK,3/3/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"327,030",0.1233
ARKK,3/3/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"1,988,500",0.2099
ARKK,3/3/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"532,806",0.2872
ARKK,3/3/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"273,293",0.1073
ARKK,3/3/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,"59,162",0.0188
ARKK,3/3/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"97,749",0.0477
ARKK,3/3/2021,Sell,BIDU,56752108,BAIDU INC,"267,378",0.3393
ARKK,3/3/2021,Sell,BEKE,482497104,KE HOLDINGS INC,"8,847",0.0024
ARKQ,3/3/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"173,600",0.5114
ARKQ,3/3/2021,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,"84,800",0.0339
ARKQ,3/3/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"2,740",0.0103
ARKQ,3/3/2021,Buy,AONE,G7000X105,ONE,"554,800",0.1957
ARKQ,3/3/2021,Sell,DE,244199105,DEERE & CO,"31,474",0.3083
ARKQ,3/3/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"160,593",0.2446
ARKW,3/3/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"189,900",0.2534
ARKW,3/3/2021,Buy,TSLA,88160R101,TESLA INC,"23,320",0.1986
ARKW,3/3/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"78,940",0.2095
ARKW,3/3/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"670,300",0.2079
ARKW,3/3/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"89,672",0.401
ARKW,3/3/2021,Sell,NVDA,67066G104,NVIDIA CORP,"85,856",0.5689
ARKW,3/3/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"316,428",0.5008
ARKW,3/3/2021,Sell,API,00851L103,AGORA INC,"113,066",0.09
ARKF,3/4/2021,Buy,SHOP,82509L107,SHOPIFY INC,"7,426",0.2011
ARKF,3/4/2021,Sell,FB,30303M102,FACEBOOK INC,"31,754",0.1966
ARKG,3/4/2021,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,"438,389",0.3485
ARKG,3/4/2021,Buy,SRPT,803607100,SAREPTA THERAPEUTICS INC,"11,900",0.0109
ARKG,3/4/2021,Buy,TXG,88025U109,10X GENOMICS INC,"99,714",0.1744
ARKG,3/4/2021,Buy,ONEM,68269G107,1LIFE HEALTHCARE INC,"440,300",0.1966
ARKG,3/4/2021,Buy,MASS,65443P102,908 DEVICES INC,"108,400",0.0545
ARKG,3/4/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,"476,900",0.0841
ARKG,3/4/2021,Buy,CDXS,192005106,CODEXIS INC,"196,226",0.0409
ARKG,3/4/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"554,757",0.0911
ARKG,3/4/2021,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,"188,000",0.0931
ARKG,3/4/2021,Buy,ACCD,4.37E+104,ACCOLADE INC,"190,345",0.0806
ARKG,3/4/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"30,543",0.009
ARKG,3/4/2021,Sell,VRTX,92532F100,VERTEX PHARMACEUTICALS INC,"186,800",0.4103
ARKG,3/4/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"264,000",0.1129
ARKG,3/4/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"9,831",0.0459
ARKG,3/4/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,100,0
ARKG,3/4/2021,Sell,GOOGL,02079K305,ALPHABET INC,"21,130",0.4558
ARKK,3/4/2021,Buy,SHOP,82509L107,SHOPIFY INC,"29,279",0.1583
ARKK,3/4/2021,Buy,SQ,852234103,SQUARE INC,"292,665",0.3044
ARKK,3/4/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"282,246",0.2547
ARKK,3/4/2021,Buy,U,91332U101,UNITY SOFTWARE INC,"317,200",0.1465
ARKK,3/4/2021,Buy,Z,98954M200,ZILLOW GROUP INC,"320,124",0.2027
ARKK,3/4/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,"137,415",0.2161
ARKK,3/4/2021,Buy,ROKU,77543R102,ROKU INC,"120,366",0.2009
ARKK,3/4/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"163,100",0.0597
ARKK,3/4/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"780,466",0.1966
ARKK,3/4/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"229,307",0.0894
ARKK,3/4/2021,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,"893,007",0.9902
ARKK,3/4/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"413,563",0.2278
ARKK,3/4/2021,Sell,TREE,52603B107,LENDINGTREE INC,"50,019",0.0543
ARKK,3/4/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"208,236",0.1073
ARKK,3/4/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"488,519",0.1959
ARKK,3/4/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,"53,126",0.0172
ARKK,3/4/2021,Sell,NVS,66987V109,NOVARTIS AG,"131,888",0.0506
ARKK,3/4/2021,Sell,PCAR,693718108,PACCAR INC,"107,100",0.0456
ARKK,3/4/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"44,884",0.0927
ARKQ,3/4/2021,Buy,TER,880770102,TERADYNE INC,"57,694",0.2026
ARKQ,3/4/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"2,737",0.0107
ARKQ,3/4/2021,Buy,VUZI,92921W300,VUZIX CORP,"285,200",0.1519
ARKQ,3/4/2021,Buy,WKHS,98138J206,WORKHORSE GROUP INC,"497,900",0.1996
ARKQ,3/4/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"161,459",0.1618
ARKQ,3/4/2021,Sell,ROK,773903109,ROCKWELL AUTOMATION INC,"84,605",0.6271
ARKQ,3/4/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"42,237",0.0668
ARKQ,3/4/2021,Sell,AMZN,23135106,AMAZON.COM INC,"2,800",0.2536
ARKQ,3/4/2021,Sell,AAPL,37833100,APPLE INC,"28,700",0.1047
ARKW,3/4/2021,Buy,SQ,852234103,SQUARE INC,"85,402",0.2512
ARKW,3/4/2021,Buy,SKLZ,83067L109,SKILLZ INC,"942,700",0.3525
ARKW,3/4/2021,Buy,SHOP,82509L107,SHOPIFY INC,"12,778",0.1958
ARKW,3/4/2021,Buy,ROKU,77543R102,ROKU INC,"52,601",0.251
ARKW,3/4/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"35,771",0.013
ARKW,3/4/2021,Buy,Z,98954M200,ZILLOW GROUP INC,"138,390",0.256
ARKW,3/4/2021,Sell,FB,30303M102,FACEBOOK INC,"143,175",0.4996
ARKW,3/4/2021,Sell,API,00851L103,AGORA INC,"20,202",0.0167
ARKW,3/4/2021,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"342,919",0.5354
ARKW,3/4/2021,Sell,NFLX,64110L106,NETFLIX INC,"35,604",0.2457
ARKF,3/5/2021,Buy,DKNG,26142R104,DRAFTKINGS INC,"101,400",0.0591
ARKF,3/5/2021,Buy,SI,82837P408,SILVERGATE CAPITAL CORP,"80,630",0.0855
ARKF,3/5/2021,Buy,Z,98954M200,ZILLOW GROUP INC,"74,252",0.2445
ARKF,3/5/2021,Sell,FB,30303M102,FACEBOOK INC,"40,578",0.2581
ARKG,3/5/2021,Buy,SEER,81578P106,SEER INC,"915,000",0.1268
ARKG,3/5/2021,Buy,SDGR,80810D103,SCHRODINGER INC/UNITED STATES,"188,900",0.1396
ARKG,3/5/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,"361,500",0.0066
ARKG,3/5/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,"268,000",0.0438
ARKG,3/5/2021,Buy,CDXS,192005106,CODEXIS INC,"227,737",0.0321
ARKG,3/5/2021,Buy,BFLY,124155102,BUTTERFLY NETWORK INC,"989,100",0.0289
ARKG,3/5/2021,Buy,ACCD,4.37E+104,ACCOLADE INC,"412,400",0.0824
ARKG,3/5/2021,Sell,GOOGL,02079K305,ALPHABET INC,"17,700",0.3963
ARKG,3/5/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,"536,611",0.1022
ARKK,3/5/2021,Buy,TSLA,88160R101,TESLA INC,"19,272",0.0528
ARKK,3/5/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"162,549",0.1433
ARKK,3/5/2021,Buy,ROKU,77543R102,ROKU INC,"147,165",0.232
ARKK,3/5/2021,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,"460,300",0.0502
ARKK,3/5/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,"331,000",0.0401
ARKK,3/5/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"627,000",0.076
ARKK,3/5/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,"163,146",0.0617
ARKK,3/5/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,"102,072",0.0339
ARKK,3/5/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,"501,351",0.2024
ARKK,3/5/2021,Sell,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,"238,654",0.3036
ARKK,3/5/2021,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"21,525",0.0462
ARKK,3/5/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,"93,837",0.0502
ARKK,3/5/2021,Sell,PCAR,693718108,PACCAR INC,"121,100",0.046
ARKQ,3/5/2021,Buy,WKHS,98138J206,WORKHORSE GROUP INC,"494,600",0.1554
ARKQ,3/5/2021,Buy,VUZI,92921W300,VUZIX CORP,"492,700",0.0588
ARKQ,3/5/2021,Buy,TSLA,88160R101,TESLA INC,"17,440",0.3114
ARKQ,3/5/2021,Buy,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,"219,800",0.1936
ARKQ,3/5/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,"31,200",0.0309
ARKQ,3/5/2021,Buy,ESLT,M3760D101,ELBIT SYSTEMS LTD,"29,717",0.0139
ARKQ,3/5/2021,Sell,ROK,773903109,ROCKWELL AUTOMATION INC,"59,210",0.4435
ARKQ,3/5/2021,Sell,AMZN,23135106,AMAZON.COM INC,"2,453",0.1169
ARKQ,3/5/2021,Sell,AAPL,37833100,APPLE INC,"27,787",0.1004
ARKW,3/5/2021,Buy,TSLA,88160R101,TESLA INC,"71,481",0.5902
ARKW,3/5/2021,Buy,ROKU,77543R102,ROKU INC,"48,625",0.0151
ARKW,3/5/2021,Buy,TTD,88339J105,TRADE DESK INC/THE,"28,001",0.2368
ARKW,3/5/2021,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,"132,675",0.4413
ARKW,3/5/2021,Sell,NVDA,67066G104,NVIDIA CORP,"64,293",0.4469
